"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","HPI_YDH","Price to income ratio","2018-Q3","Q3-2018","IDX","Index","0","Units",,,104.937105049139,,
"CHE","Switzerland","HPI_YDH","Price to income ratio","2018-Q4","Q4-2018","IDX","Index","0","Units",,,105.819768696838,,
"CHE","Switzerland","HPI_YDH","Price to income ratio","2019-Q1","Q1-2019","IDX","Index","0","Units",,,106.512980387445,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2015-Q3","Q3-2015","IDX","Index","0","Units",,,100.265390683523,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2015-Q4","Q4-2015","IDX","Index","0","Units",,,100.426941229778,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,100.200036020843,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,99.8899123206585,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,99.5751011052274,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,99.4003489627091,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,99.2465562577948,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,99.2452169533976,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,99.4707483670658,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,99.517687919795,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,100.088427589304,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,99.9866712139598,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2018-Q3","Q3-2018","IDX","Index","0","Units",,,100.152142672273,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2018-Q4","Q4-2018","IDX","Index","0","Units",,,100.272860642384,,
"KOR","Korea","HPI_RPI","Price to rent ratio","2019-Q1","Q1-2019","IDX","Index","0","Units",,,100.178530272924,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2015-Q3","Q3-2015","1","RATIOS","0","Units",,,82.8721556688519,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2015-Q4","Q4-2015","1","RATIOS","0","Units",,,83.4750411097981,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2016-Q1","Q1-2016","1","RATIOS","0","Units",,,85.0298374801847,,
